Question,Answer
Drupal @ UH,"What is Drupal?What version of Drupal is ITS running?How do I request a Drupal Site?Where can I get more information regarding Drupal @ UH?Is there a list of Drupal modules that are supported by ITS?I do not see a module I need on the supported list.  What can I do?What themes are available?Where do I save my custom theme?I can not find my login page, how can I get to it?How do I turn off the ""create your own account"" option?How do I allow uploads?How do I clear the cache?Are there any downtimes for the server that is hosting my Drupal installation or MySQL database?How often are updates performed?Is there a Drupal listserv I may subscribe too?What is Drupal?Drupal is an open source content management system.What version of Drupal is ITS running?ITS has installed Drupal using its multi-site feature.  ITS will maintain the core files and supported modules.Drupal 7.26is available in the following environment:Apache web server 2.2.9PHP scripting 5.3.3mySQL database server 5.5.25aHow do I request a Drupal Site?To request a Drupal site, please complete the application form at visithttp://www.hawaii.edu/infotech/webservice/apply.phpWhere can I get more information regarding Drupal @ UH?More information on Drupal @ UH can be found athttp://www.hawaii.edu/its/drupal.Is there a list of Drupal modules that are supported by ITS?A list of ITS supported modules can be found athttp://www.hawaii.edu/its/drupal/modulelist.I do not see a module I need on the supported list.  What can I do?If you feel the module will benefit the UH community, please email web-support-l@lists.hawaii.edu the information.  ITS will research it.  If not, you may install the module within your modules folder in the directory provided to you by ITS.What themes are available?A list of themes can be found athttp://www.hawaii.edu/its/drupal/themesWhere do I save my custom theme?Save your custom theme in your themes folder in the directory thats provided to you.I can not find my login page, how can I get to it?To get back to your login screen, visit http://youdrupalsite/user (For Drupal 6, visit http://yourdrupalsite/user/login)How do you turn off the ""create your own account"" option?To turn of this functionLogin as the administratorClick on Administrator link.Then click on the User Management Link.Then click on the User Settings Link.Select ""Only site administrators can create new user accounts.""Then ""Save Configuration""How do I allow uploads?By default, the upload module is not enabled.  To enable the moduleLogin has adminsitrator.Click on Administer.Then click on the Modules link.Check UploadHow do I clear the cache?Login has administratorClick on AdministerThen click on Performance.Then select Clear Cached data.How do I configure the Home PageDefault is /nodeTo change go to:Administer -> Site Configuration -> Site InformationAre there any downtimes for the server that is hosting my Drupal installation or MySQL database?The server hosting the MySQL database is unavailable on Mondays from 3:00am - 6:00am for system backups.  There are no regularly scheduled downtimes for the server hosting your Drupal site.   There may be times when downtimes are scheduled for emergency maintenance.  All downtimes will be listed athttp://www.hawaii.edu/itsHow often are updates performedSecurity updates to the Drupal files are done as soon as possible.  Non security updates are done at the end of each month.Is there a Drupal listserv I may subscribe tooYes, there is a Drupal listserv.  The listserv will be used to announce security updates or server maintenance outages.  To subscribe send email to listserv@lists.hawaii.edu.  In the body, type 'subscribe its-drupal'"
Safari Information (Mac),"General Information""The best browser for your Mac is the one that comes with your Mac. Safari is faster and more energy efficient than other browsers, so sites are more responsive and your notebook battery lasts longer between charges. Built-in privacy features help keep your browsing your business. Handy tools help you save, find, and share your favorites. And Safari works with iCloud to let you browse seamlessly across all your devices."" - Apple websiteMinimum System RequirementsA Mac running macOS 10.8* or higherIntel processor2 GB RAM or more recommendedAt least 5 GB of free disk spaceInternet access*Limited support for macOS 10.8, 10.9, and 10.10ITS Supported VersionSafari 9 (comes with macOS 10.11)Safari 10 (comes with macOS 10.12)Safari 11 (comes with macOS 10.13)DocumentationUpdating Safari [HTML]Browser Recommendations for ITS-Supported Web Applications [HTML]Clearing Your Web Browser's Cache [HTML]Cookie Settings [HTML]Clearing Your Web Browser's Cookies [HTML]Configuring Pop-up Blocker [HTML]OS X Browser MatrixCompany Websitehttp://www.apple.com/safari"
UHUNIX Shell Services,"UHUNIX Shell Services include open-source compilers and personal home pages. Now that most work is done on personal computers, ITS Help Desk resources for supporting these services are limited to best effort.The host name for UHUNIX isuhunix.hawaii.edu.For more information on creating and managing personal home pages, please visit:http://www.hawaii.edu/askus/694Software currently provided on UHUNIX:nano ('pico')vimGNU C & C++ CompilerGFortranOracle Java"
Locating Your Device's MAC Address,"The Media Access Control (MAC) address is a unique 12-digit hexadecimal number assigned to the network interface (e.g. ethernet card) in your network-enabled device.Note:Your wireless will need to be enabled in order to locate your MAC address. If you are not sure how to enable wireless on your device please refer to the instructions that came with your device.Mobile OSiOSGo to theSettingsapp on the home screen of your iOS device.SelectGeneral, then selectAbout.Scroll down and look forWi-Fi Address, that is your iOS device’s MAC address.AndroidFrom the Home screen, pressSettings.SelectGeneral or Moreoption at the top of the screen.Scroll down and tapAbout device.TapStatus.Scroll down to view theWi-Fi MAC address.*Note: Android 10 and iOS 14 introduced a randomized MAC address option.  If your  UHM wireless passthrough stops working and you have Android 10 and higher or iOS 14 and higher, you may need to  change this option to use the device's MAC address.Learn how to disable this feature.WindowsWindows 10 & 11Click theStartbuttonTypecmdin the search field.Click onCommand PromptDesktop app in the search results.At the prompt, typeipconfig /alland pressEnter.The MAC address is on thePhysical Addressline of the window.Note:Some computers have more than one ethernet adapter and the 'ipconfig' command lists all of the network adapters on the computer. Please find the one that describes your wireless card by looking at theDescriptionfield. Also note, that the physical addresses that are listed under the 'Tunnel adapters' and/or 'Teredo Tunneling Pseudo-Interface' are not valid for Wireless Passthrough.macOSmacOS 10.11 and aboveGo to theApplemenu and selectSystem Preferences.Click on theNetworkicon.On the left side, click once onWi-Fito select it.On the right side, nearer to the bottom, click on theAdvancedbutton.On the window that appears, look forWi-Fi Addressnear the bottom. The Wi-Fi Address is your MAC address.Click onCancel. Close the window by click on the red dot in the upper left corner of the window."
Connecting to the UH Wireless Networks,"Welcome to the University of Hawai'i Wireless Network homepage. Here you will find instructions on setting up your wireless adapter using the built-in software in the Windows and MacOS operating systems.Note:ITS does not support third party wireless configuration wizards due to the amount of various software applications that are available. Consult the documentation that came with your wireless card to learn how to turn this software off.General Wireless SetupConnecting to the UH Wireless NetworkWireless Authentication PassthroughWireless Visitor Internet Access (VIA)Wireless Connectivity MatrixUH Manoa Wireless MapWireless Troubleshooting TipsGeneral Wireless SetupWhat you need:A laptop or desktop computer outfitted with a wireless network adapter that is 802.11a/g/n compatibleA supported operating system (Windows 10 or MacOS)A valid UH Username and passwordConnecting to the UH Wireless NetworkPlease see the Wireless Connectivity Matrix below for the SSID information for your campus. You can use the instructions below, by using the relevant SSID information for your campus.Windows 10https://www.hawaii.edu/askus/1739MacOShttps://www.hawaii.edu/askus/995Wireless Authentication PassthroughFor the convenience of mobile device users who want to utilize the UH Wireless Network, as well as frequent wireless users, you can now setup a passthrough for the wireless network. Doing this will allow the device to bypass the normal wireless login process and immediately access the wireless network.(Note: Passthrough is not currently enabled for Windward CC)To setup a passthrough, go tohttps://www.hawaii.edu/wireless/pt. To complete the passthrough setup process, you will need:Your UH Username and passwordTheMAC Addressof your deviceA description of your devicePassthroughs expire after1 year, and each user is allowed amaximum of 10 passthroughsto be setup at a time. Passthroughs are registered under your UH Username, and you are responsible for the activity of these devices while they are connected to the UH Wireless Network.Wireless Visitor Internet Access (VIA)University of Hawai’i (UH) faculty and staff may request access to the UH Wireless Network for their visitors. More information about VIA can be found athttps://www.hawaii.edu/via.Wireless Connectivity MatrixCampusSSID forUH loginUH Username & Password AuthenticationPassthrough EnabledNotesUH HilouhhiloYYUH ManoaUHMYYUH Maui CollegeUHMCYYUH West OahuUHWOYYHawaii CCHAWAIICCYYHawaii CC-PalamanuiHAWAIICC-PYYHonolulu CCHONYYKapiolani CCKapCCYYKauai CCKauaiCC or KauaiCC24YYLeeward CCLEEYYWindward CCWireless Using UH IDYN“WCC Campus WPA2” network  available with password   ""windward96744""LCC-WaianaeLEEYYUH-West HawaiiUHCWHYYUHMC-HanaUHMCYYUHMC-LahainaUHMCYYUHMC-LanaiUHMCYYUHMC-MolokaiUHMCYYUH Manoa Wireless MapTo find out which buildings have wireless coverage on the UH Manoa campus, please visit the campus map athttps://www.hawaii.edu/wireless/map/.Wireless Troubleshooting TipsMy wireless connection used to work, but now it doesn'tMy wireless connection never worked.Make sure you have a valid UH Username and password.Check that a valid Network Name (SSID) is being used (see Network Connectivity Matrix above).Check for adequate signal strength for the SSID. If your signal strength is moderate or low, try moving to a different location where the signal strength is good or excellent. If you are on the UH Manoa Campus, please check theUH Manoa wireless mapto make sure theUHMwireless network is available in the area where you are trying to connect.In your device's network settings, check to see if your wireless connection is bridged with another connection. Remove the bridge if necessary.If using a computer or laptop, you could try to remove the existing wireless adapter and reinstall them. Also check for updated drivers for your wireless adapter at the manufacturer's website.If you have an external adapter for your computer or laptop, try your wireless adapter in another computer to make sure the adapter is working properly.If you have built-in wireless that came with your laptop, check to see if there is an external switch to enable or disable your wireless connection.I can connect and get to the wireless authentication page, but I can't get past that page.Make sure you have a valid UH Username and Password.If you are still experiencing issues with wireless, or are at the UH-Manoa campus, please contact the ITS Help Desk:http://www.hawaii.edu/its/help-desk."
Modifying your web browser cache settings,"Many MyUH and Laulima problems are due to web browser cache settings.  A web browser cache stores recently downloaded pages to your local computer so future accesses to that page can be read locally rather than getting a page from the server (since it would be faster to read a stored copy than to get one from the server).  Applications such as MyUH and Laulima need to get the current page for one to see rather than an old copy stored on your computer.Changing web browser cache settings[Internet Explorer] [Firefox(and Camino)]Internet ExplorerIn the Tools Menu > Select Internet Options.Click on the General tab > Under Browsing History, click on the Delete ... button.Under Browsing History, click on the Settings button.When the ""Temporary Internet Settings"" dialog box appears, in the ""Check for newer versions of stored pages:"", click on the radio button for ""Every time I visit the webpage"", then click on the ""OK"" button at the bottom of this window.Click the OK button at the bottom of the Internet Options window.Firefox(and Camino) [up]Open a browser window, delete the address in the URL bar and      typeabout:config.Press the Return key to see Firefox settings.You will be prompted with a warning,click on the ""I'lll be careful, I promise!"" button to continue.Scroll down until your see ""browser.cache.check_doc_frequency"".Click on the number 3 in that row, the value we need to change.Enter the number 1, then click on the ""OK"" button.Quit Firefox and restart for your new settings to take effect."
Laulima: Working with Groups and Sections,In this podcast we'll discuss how to use Laulima's Group and Section tools to facilitate collaboration and learning.
Laulima: Creating an audio podcast,"Note: this content is in ""raw draft mode"".  At some point it will be updated and edited.  (Quicktime required to view podcast)In this podcast we cover tools, setup, strategies, and workflow in creating an audio podcast."
Creating an ELOG,"1. Login tohttp://www.hawaii.edu/simp/2. Click on the ""MENU"" item on the blue menu bar then choose ""NOTICES"" from the pop-up menu.3. Click on the ""Create"" button.4. Complete the form accordingly and then click on the ""Email Preview"" button.  NOTE:  Leave the ""Public Message"" option on ""No"" until after you've had a chance to review the preview email and made changes to your elog entry.5. When you are satisfied with the preview email.  Click on the ""Same as Email Message"" option of the ""Public Message"" section.  This will copy your email message into the textbox for posting to the ITS and Technews websites.6. Choose a ""Tech News Category"".  NOTE: Most common categories are either ""Maintenance and Outages"" or ""General Notices"".  ""Maintenance and Outages"" appear on the ITS and Technews websites under ""Current Outages"", ""Scheduled Outages"" and ""Previous Outages"" based on the Start and End dates/times of the elog.7. Click on the ""EMail Notice"" button and the email will be sent to the lists checkes and any ""Additional Email Addresses"" if specified.  The post should appear on http://www.hawaii.edu/its/ and the technews page shortly after clicking the ""Update"", ""Email Preview"" or ""EMail Notice"" buttons.8. NOTE: Choosing ""Public Message"" posts the elog to the ITS and Technews websites immediately after clicking the ""Update"", ""Email Preview"" or ""EMail Notice"" buttons.9. Check the ITS and Technews websites to verify that your elog has been posted."
Laulima: Incomplete course enrollments / Laulima student list does not match the Banner list / Missing Courses,"Faculty:If you find differences between your banner enrollments as displayed in MyUH and laulima enrollments, please click on the ""Request Assistance"" link at the bottom of every Laulima page to request a sync of your course.  This will start a process to add all enrolled students into your course.Students/Faculty:Courses are generally available to students one week prior to the start of the semester.  If you are a student or faculty and find that you are missing course tabs in Laulima (and they are not in ""My Active Sites""), there may be an issue with your account preventing the system from updating your account with your current courses.  If this is the case, please click on the ""Request Assistance"" link at the bottom of every Laulima page so we can verify/repair your account."
